device,subject,browser,Battery Power* [uW] (Delta),Battery Power* [uW] (Raw)
nexus6p-wifi,192-168-0-243-5000-cam-index-critical-html,firefox,444084.07385585585,694751.5793153152
nexus6p-wifi,192-168-0-243-5000-cam-index-critical-html,chrome,227839.8310810811,407668.75405405404
nexus6p-wifi,192-168-0-243-5000-lazada-index-html,firefox,432178.45228828833,674880.6594054054
nexus6p-wifi,192-168-0-243-5000-lazada-index-html,chrome,335602.3066486487,566166.0753153153
nexus6p-wifi,192-168-0-243-5000-unicef-index-critical-html,firefox,501189.06936936936,708738.2663063064
nexus6p-wifi,192-168-0-243-5000-unicef-index-critical-html,chrome,295553.5216216217,520398.3364864864
nexus6p-wifi,192-168-0-243-5000-theverge-index-critical-html,firefox,651771.5861801801,898496.4615135135
nexus6p-wifi,192-168-0-243-5000-theverge-index-critical-html,chrome,339130.71379118843,518649.3537208441
nexus6p-wifi,192-168-0-243-5000-cam-index-html,firefox,491199.0392792792,720091.201027027
nexus6p-wifi,192-168-0-243-5000-cam-index-html,chrome,195124.93596396397,407095.3041621622
nexus6p-wifi,192-168-0-243-5000-eff-index-critical-html,firefox,275684.4169487844,443963.2484556337
nexus6p-wifi,192-168-0-243-5000-eff-index-critical-html,chrome,140397.30751351352,282436.8491171171
nexus6p-wifi,192-168-0-243-5000-etsy-index-html,firefox,303823.0946756757,476717.7628918919
nexus6p-wifi,192-168-0-243-5000-etsy-index-html,chrome,177188.70405405405,321606.1067567568
nexus6p-wifi,192-168-0-243-5000-lazada-index-critical-html,firefox,811681.9081081082,1264000.972972973
nexus6p-wifi,192-168-0-243-5000-lazada-index-critical-html,chrome,396753.0814513143,622321.7159755647
nexus6p-wifi,192-168-0-243-5000-etsy-index-critical-html,firefox,434900.0316936937,624670.1975855856
nexus6p-wifi,192-168-0-243-5000-etsy-index-critical-html,chrome,157469.9364864865,290320.40135135135
nexus6p-wifi,192-168-0-243-5000-eff-index-html,firefox,223987.73355563352,397309.14434889436
nexus6p-wifi,192-168-0-243-5000-eff-index-html,chrome,150464.32972972974,315394.1135135135
nexus6p-wifi,192-168-0-243-5000-theverge-index-html,firefox,526667.9931531532,749950.8018378379
nexus6p-wifi,192-168-0-243-5000-theverge-index-html,chrome,357317.1608108108,552584.8729729729
nexus6p-wifi,192-168-0-243-5000-applenews-index-critical-html,firefox,572140.2054054055,841852.8310810812
nexus6p-wifi,192-168-0-243-5000-applenews-index-critical-html,chrome,285928.7509246088,762697.7565789473
nexus6p-wifi,192-168-0-243-5000-bestbuy-index-critical-html,firefox,292042.90618018026,600676.0633513514
nexus6p-wifi,192-168-0-243-5000-bestbuy-index-critical-html,chrome,103224.34324324325,235013.68918918917
nexus6p-wifi,192-168-0-243-5000-opendns-index-html,firefox,302305.5136913229,522434.9156827881
nexus6p-wifi,192-168-0-243-5000-opendns-index-html,chrome,294641.95745945943,481087.17765765777
nexus6p-wifi,192-168-0-243-5000-unicef-index-html,firefox,497388.1893873874,758469.7048108107
nexus6p-wifi,192-168-0-243-5000-unicef-index-html,chrome,272103.5087747748,491692.4681981982
nexus6p-wifi,192-168-0-243-5000-bestbuy-index-html,firefox,289786.9153562653,552708.9235170234
nexus6p-wifi,192-168-0-243-5000-bestbuy-index-html,chrome,133588.61891891892,285788.4081081081
nexus6p-wifi,192-168-0-243-5000-applenews-index-html,firefox,502472.1470630631,814770.2293333333
nexus6p-wifi,192-168-0-243-5000-applenews-index-html,chrome,279151.81621621625,716735.7986486485
nexus6p-wifi,192-168-0-243-5000-opendns-index-critical-html,firefox,345393.29729729734,557701.4243243242
nexus6p-wifi,192-168-0-243-5000-opendns-index-critical-html,chrome,274370.60819819814,456326.3984504504
