Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
27,556170,109856
477,774670,328356
980,1158105,711791
1488,2244849,1798535
1980,3591140,3144826
2489,2335264,1888950
2997,393300,0
3521,80778,0
4027,57348,0
4530,480746,34432
5037,1159052,712738
5534,1313632,867318
5980,746001,299687
6505,32235,0
7011,35707,0
7517,59973,0
8028,25256,0
8539,47499,0
9042,56609,0
9502,45356,0
10013,199118,0
10526,62685,0
11010,501906,55592
11505,960803,514489
12005,927388,481074
12511,914408,468094
13011,697095,250781
13519,831730,385416
14018,973065,526751
14533,77809,0
15044,32223,0
15537,24385,0
16043,20901,0
16546,25256,0
17050,36578,0
17557,33977,0
18012,31352,0
18517,33094,0
19022,74061,0
19532,34836,0
20039,27869,0
20541,26998,0
21049,26127,0
21554,36578,0
22061,49641,0
22563,47900,0
23071,33094,0
23527,40061,0
24034,57029,0
24535,47098,0
25042,39260,0
25554,28740,0
26062,34836,0
26572,43545,0
27083,30481,0
27533,45287,0
28038,76640,0
28545,41531,0
29053,36578,0
29562,33765,0
30070,26998,0
30587,31622,0
31044,52254,0
31526,874594,428280
32054,33965,0
32551,200275,0
33076,51452,0
33575,42944,0
34086,40061,0
34589,54203,0
35046,54134,0
35554,59159,0
36062,28740,0
36561,73471,0
,,
,,
