Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
8,1010076,678373
497,1148301,816598
990,1480804,1149101
1493,1768489,1436786
2003,1231266,899563
2527,217243,0
3012,1633813,1302110
3518,2464488,2132785
4010,3419067,3087364
4512,3108829,2777126
5017,2467359,2135656
5523,2244193,1912490
6028,1681322,1349619
6530,1164672,832969
7030,1738927,1407224
7547,863808,532105
8035,1891818,1560115
8540,2097267,1765564
9064,1151056,819353
9519,1099893,768190
10021,1110468,778765
10530,1093720,762017
11032,1096132,764429
11518,1298212,966509
12015,1746742,1415039
12517,585681,253978
13021,1207372,875669
13524,1102230,770527
14027,1097404,765701
14530,1115294,783591
15031,1433671,1101968
15541,718916,387213
16042,29645,0
16557,22655,0
17049,365674,33971
17517,29611,0
18007,264311,0
18529,18289,0
19034,29338,0
19541,29611,0
20047,31352,0
20552,21772,0
21057,21772,0
21562,31352,0
22067,20901,0
22522,32223,0
23027,23514,0
23532,27869,0
24035,54867,0
24545,28740,0
25048,26998,0
25554,40944,0
26071,33965,0
26575,43219,0
27092,39925,0
27541,51853,0
28049,31352,0
28554,67868,0
29064,62042,0
29568,23514,0
30083,47029,0
30586,48473,0
31091,22643,0
31553,31352,0
32062,34836,0
32570,36377,0
33076,35718,0
33584,38320,0
34093,35707,0
34604,32023,0
35063,37939,0
35566,41803,0
36075,28740,0
36571,408136,76433
,,
,,
,,
