device,subject,browser,Battery Power* [uW] (Delta),Battery Power* [uW] (Raw)
nexus6p-wifi,192-168-0-243-5000-docusign-index-critical-html,firefox,466016.9791218175,851559.9123888303
nexus6p-wifi,192-168-0-243-5000-docusign-index-critical-html,chrome,377749.6396232272,701280.4311164035
nexus6p-wifi,192-168-0-243-5000-github-index-critical-html,firefox,739953.285891892,1279670.4172972972
nexus6p-wifi,192-168-0-243-5000-github-index-critical-html,chrome,1104951.7786045335,1773355.3297373287
nexus6p-wifi,192-168-0-243-5000-enable-javascript-index-html,firefox,253059.28464864873,473895.27873873874
nexus6p-wifi,192-168-0-243-5000-enable-javascript-index-html,chrome,124816.9360814513,256713.58196347032
nexus6p-wifi,192-168-0-243-5000-enable-javascript-index-critical-html,firefox,250979.70117117118,405842.2134414414
nexus6p-wifi,192-168-0-243-5000-enable-javascript-index-critical-html,chrome,106262.68526451541,245354.12395995634
nexus6p-wifi,192-168-0-243-5000-cam-index-html,firefox,443009.1653436804,705671.4158708601
nexus6p-wifi,192-168-0-243-5000-cam-index-html,chrome,223048.09864864862,430193.81621621625
nexus6p-wifi,192-168-0-243-5000-live-index-critical-html,firefox,417046.1501081081,600820.463009009
nexus6p-wifi,192-168-0-243-5000-live-index-critical-html,chrome,219006.23513513515,392915.5175675676
nexus6p-wifi,192-168-0-243-5000-cambridge-index-critical-html,firefox,485551.4986486487,733054.2891891892
nexus6p-wifi,192-168-0-243-5000-cambridge-index-critical-html,chrome,247472.49947747748,445061.5550990992
nexus6p-wifi,192-168-0-243-5000-mailchi-index-html,firefox,547488.9594594595,891905.9621621621
nexus6p-wifi,192-168-0-243-5000-mailchi-index-html,chrome,393051.5570630631,600708.5053333333
nexus6p-wifi,192-168-0-243-5000-npr-index-html,firefox,914208.1635194569,1340512.2370767423
nexus6p-wifi,192-168-0-243-5000-npr-index-html,chrome,585667.0275495496,883648.0961981983
nexus6p-wifi,192-168-0-243-5000-ilovepdf-index-critical-html,firefox,293975.3060720721,494004.4453873873
nexus6p-wifi,192-168-0-243-5000-ilovepdf-index-critical-html,chrome,157970.51118918922,302055.3741801802
nexus6p-wifi,192-168-0-243-5000-eff-index-critical-html,firefox,279133.49618397345,459173.7865675675
nexus6p-wifi,192-168-0-243-5000-eff-index-critical-html,chrome,96154.49801801801,236569.499981982
nexus6p-wifi,192-168-0-243-5000-arxiv-index-html,firefox,195824.6616036036,385102.4714414414
nexus6p-wifi,192-168-0-243-5000-arxiv-index-html,chrome,105410.67915315315,247455.35290090097
nexus6p-wifi,192-168-0-243-5000-blogger-index-critical-html,firefox,2006023.133117117,2412157.2396576577
nexus6p-wifi,192-168-0-243-5000-blogger-index-critical-html,chrome,592771.0597657658,1081815.3125405405
nexus6p-wifi,192-168-0-243-5000-asos-index-html,firefox,662209.0401821547,1112069.4958573368
nexus6p-wifi,192-168-0-243-5000-asos-index-html,chrome,445380.98638253636,753504.2494109495
nexus6p-wifi,192-168-0-243-5000-yale-index-html,firefox,275128.7682710107,493499.1822843393
nexus6p-wifi,192-168-0-243-5000-yale-index-html,chrome,168160.19508108107,337882.36336936936
nexus6p-wifi,192-168-0-243-5000-moz-index-critical-html,firefox,417862.2744756732,703161.1528228741
nexus6p-wifi,192-168-0-243-5000-moz-index-critical-html,chrome,359683.7650748261,627062.3447446364
nexus6p-wifi,192-168-0-243-5000-ietf-index-critical-html,firefox,247706.5338378378,426853.4438018017
nexus6p-wifi,192-168-0-243-5000-ietf-index-critical-html,chrome,109338.22511711712,258817.44419819824
nexus6p-wifi,192-168-0-243-5000-drupal-index-critical-html,firefox,895923.4361981981,1496360.3296396395
nexus6p-wifi,192-168-0-243-5000-drupal-index-critical-html,chrome,664986.6377215846,1372105.136013822
nexus6p-wifi,192-168-0-243-5000-etsy-index-html,firefox,306725.9300493124,500878.0061299194
nexus6p-wifi,192-168-0-243-5000-etsy-index-html,chrome,168249.4134779517,325234.644487909
nexus6p-wifi,192-168-0-243-5000-cambridge-index-html,firefox,424721.2655135136,738487.4097297299
nexus6p-wifi,192-168-0-243-5000-cambridge-index-html,chrome,228087.66594876492,436197.19536840165
nexus6p-wifi,192-168-0-243-5000-lazada-index-critical-html,firefox,812633.1152792793,1277061.5160720719
nexus6p-wifi,192-168-0-243-5000-lazada-index-critical-html,chrome,471800.8728468469,735103.6232252253
nexus6p-wifi,192-168-0-243-5000-ft-index-html,firefox,512252.7935002371,720062.9054220008
nexus6p-wifi,192-168-0-243-5000-ft-index-html,chrome,249972.71081081082,433686.8648648649
nexus6p-wifi,192-168-0-243-5000-blogger-index-html,firefox,1899042.6804240085,2363184.520077922
nexus6p-wifi,192-168-0-243-5000-blogger-index-html,chrome,602727.2450924609,1032807.7674253202
nexus6p-wifi,192-168-0-243-5000-etsy-index-critical-html,firefox,420878.04735561874,621111.1951773352
nexus6p-wifi,192-168-0-243-5000-etsy-index-critical-html,chrome,180512.38223618353,410487.6471787577
nexus6p-wifi,192-168-0-243-5000-fda-index-critical-html,firefox,222571.92252252254,482912.12825225224
nexus6p-wifi,192-168-0-243-5000-fda-index-critical-html,chrome,156864.33402640998,290868.3330970271
nexus6p-wifi,192-168-0-243-5000-eff-index-html,firefox,243465.8149203999,428890.66417993343
nexus6p-wifi,192-168-0-243-5000-eff-index-html,chrome,111353.94796396396,254461.78565765766
nexus6p-wifi,192-168-0-243-5000-ft-index-critical-html,firefox,487126.5144937406,712804.6950408331
nexus6p-wifi,192-168-0-243-5000-ft-index-critical-html,chrome,355777.34798198193,584372.1128648649
nexus6p-wifi,192-168-0-243-5000-theverge-index-html,firefox,521386.51461261266,774691.6093693696
nexus6p-wifi,192-168-0-243-5000-theverge-index-html,chrome,347946.9364864864,532381.5148648649
nexus6p-wifi,192-168-0-243-5000-statcounter-index-critical-html,firefox,321784.4776226478,518545.20504499314
nexus6p-wifi,192-168-0-243-5000-statcounter-index-critical-html,chrome,140822.87091838627,303887.8576551959
nexus6p-wifi,192-168-0-243-5000-python-index-html,firefox,262191.6637117117,426646.3529369369
nexus6p-wifi,192-168-0-243-5000-python-index-html,chrome,129224.58818018017,274823.31945945945
nexus6p-wifi,192-168-0-243-5000-bootstrap-index-html,firefox,230316.80135135137,427184.39054054057
nexus6p-wifi,192-168-0-243-5000-bootstrap-index-html,chrome,103068.25255855857,247159.16814414412
nexus6p-wifi,192-168-0-243-5000-stackexhange-index-critical-html,firefox,325267.8986230441,559487.4291085823
nexus6p-wifi,192-168-0-243-5000-stackexhange-index-critical-html,chrome,178599.1598738739,333179.7374954955
nexus6p-wifi,192-168-0-243-5000-ftc-index-html,firefox,337445.59407207207,595423.453945946
nexus6p-wifi,192-168-0-243-5000-ftc-index-html,chrome,217454.43688288287,394592.82780180185
nexus6p-wifi,192-168-0-243-5000-aparat-index-html,firefox,380217.98113513505,635370.5355315316
nexus6p-wifi,192-168-0-243-5000-aparat-index-html,chrome,243078.0791711712,524618.2842162163
nexus6p-wifi,192-168-0-243-5000-applenews-index-critical-html,firefox,556830.3463963964,837449.2626846847
nexus6p-wifi,192-168-0-243-5000-applenews-index-critical-html,chrome,296330.7770621271,767864.1118813618
nexus6p-wifi,192-168-0-243-5000-adobe-index-critical-html,firefox,460921.50009009003,709690.407783784
nexus6p-wifi,192-168-0-243-5000-adobe-index-critical-html,chrome,337909.4716216216,542317.5843603603
nexus6p-wifi,192-168-0-243-5000-ed-index-critical-html,firefox,268627.18243243237,442247.8054054054
nexus6p-wifi,192-168-0-243-5000-ed-index-critical-html,chrome,127069.39070270272,275531.093981982
nexus6p-wifi,192-168-0-243-5000-adobe-index-html,firefox,392828.0605045045,631153.7487387388
nexus6p-wifi,192-168-0-243-5000-adobe-index-html,chrome,250582.1505585585,506843.1019639639
nexus6p-wifi,192-168-0-243-5000-npr-index-critical-html,firefox,785356.3915495495,1256393.9910270271
nexus6p-wifi,192-168-0-243-5000-npr-index-critical-html,chrome,593119.7209549549,884262.6063423422
nexus6p-wifi,192-168-0-243-5000-github-index-html,firefox,786853.1765765764,1322063.7448288286
nexus6p-wifi,192-168-0-243-5000-github-index-html,chrome,1129913.698775903,1741817.5702777843
nexus6p-wifi,192-168-0-243-5000-adsrvr-index-critical-html,firefox,242265.83816216217,456786.1910990991
nexus6p-wifi,192-168-0-243-5000-adsrvr-index-critical-html,chrome,113193.31554539152,259429.53654608456
nexus6p-wifi,192-168-0-243-5000-cnblogs-index-html,firefox,312260.4047387387,549104.5920180181
nexus6p-wifi,192-168-0-243-5000-cnblogs-index-html,chrome,165498.28621621622,329082.13891891885
nexus6p-wifi,192-168-0-243-5000-loc-index-critical-html,firefox,378577.20935135137,625611.793891892
nexus6p-wifi,192-168-0-243-5000-loc-index-critical-html,chrome,226930.07326126128,435972.2985405406
nexus6p-wifi,192-168-0-243-5000-moodle-index-critical-html,firefox,377980.9594933195,595976.6904179155
nexus6p-wifi,192-168-0-243-5000-moodle-index-critical-html,chrome,213036.54054054056,368077.03108108114
nexus6p-wifi,192-168-0-243-5000-moodle-index-html,firefox,305176.6345585585,548803.7086846847
nexus6p-wifi,192-168-0-243-5000-moodle-index-html,chrome,157348.5492427691,378229.96949265053
nexus6p-wifi,192-168-0-243-5000-lencr-index-html,firefox,220936.34944144145,421690.090990991
nexus6p-wifi,192-168-0-243-5000-lencr-index-html,chrome,104014.0269439259,243787.64397842254
nexus6p-wifi,192-168-0-243-5000-apple-index-critical-html,firefox,824900.4588217585,1043775.2720086668
nexus6p-wifi,192-168-0-243-5000-apple-index-critical-html,chrome,320813.56920720724,547962.2686126126
nexus6p-wifi,192-168-0-243-5000-bestbuy-index-critical-html,firefox,236408.06291891893,501957.7486846846
nexus6p-wifi,192-168-0-243-5000-bestbuy-index-critical-html,chrome,141613.34371171173,291444.66443243244
nexus6p-wifi,192-168-0-243-5000-xnxx-index-critical-html,firefox,2122613.840630631,2573354.9406306306
nexus6p-wifi,192-168-0-243-5000-xnxx-index-critical-html,chrome,507538.06962873397,881441.053317212
nexus6p-wifi,192-168-0-243-5000-zerodha-index-critical-html,firefox,232580.79324324318,412716.4945945945
nexus6p-wifi,192-168-0-243-5000-zerodha-index-critical-html,chrome,122757.92768224244,279852.4459678677
nexus6p-wifi,192-168-0-243-5000-opendns-index-html,firefox,328983.595859175,560507.5380905643
nexus6p-wifi,192-168-0-243-5000-opendns-index-html,chrome,238763.87207207206,401530.0594774775
