site,crit,browser,lt,fp,fcp,e
127,lencr,1,chrome,380,601.3,601.3,3.526906288
128,lencr,1,chrome,364,573.8,573.8,3.467880437
129,lencr,1,chrome,435,610.8,610.8,5.6398480475
130,lencr,1,chrome,424,723.6,723.6,0.8199152725
131,lencr,1,firefox,327,1845.1,316,5.008804858
132,lencr,1,firefox,350,1600.3,336,19.58014539
133,lencr,1,firefox,345,638.9,299,7.519394667
134,lencr,1,firefox,291,1384.3,245,8.7637266535
135,lencr,1,firefox,373,1039.8,327,13.4437431995
136,lencr,1,firefox,350,585.6,341,6.665214124
137,lencr,1,firefox,328,1880,313,5.1188984665
138,lencr,1,firefox,263,767,254,10.720827405
139,lencr,1,firefox,308,1390.2,263,5.302410797
140,lencr,1,firefox,362,987.6,302,10.0978098815
141,ietf,0,chrome,708,981.1,981.1,6.0079939275
142,ietf,0,chrome,642,978.9,978.9,10.1043579545
143,ietf,0,chrome,650,940.9,940.9,3.4931728175
144,ietf,0,chrome,648,943.3,943.3,3.0073611765
145,ietf,0,chrome,732,1030.9,1030.9,3.0635177765
146,ietf,0,chrome,679,1007.8,1007.8,3.006381087
147,ietf,0,chrome,644,938.2,938.2,2.864418403
148,ietf,0,chrome,673,957.6,957.6,3.372761972
149,ietf,0,chrome,663,952.1,952.1,2.569252999
150,ietf,0,chrome,650,950.2,950.2,2.790222916
151,ietf,0,firefox,578,1078.6,434,11.841259743
152,ietf,0,firefox,590,1384.3,452,10.469244224
153,ietf,0,firefox,576,2519.8,455,6.1774691715
154,ietf,0,firefox,592,1233.5,468,12.8603449195
155,ietf,0,firefox,712,2063.6,572,9.4947642155
156,ietf,0,firefox,573,637.4,428,12.3471645035
157,ietf,0,firefox,637,1794.4,516,9.27234589
158,ietf,0,firefox,675,610.1,609,6.178880131
159,ietf,0,firefox,623,888.7,509,10.140744041
160,ietf,0,firefox,619,822.1,549,8.361093561
161,xnxx,0,chrome,2019,1563.4,1563.4,19.213072277
162,xnxx,0,chrome,2093,1681.6,1681.6,22.0632494495
163,xnxx,0,chrome,2123,1665.6,1665.6,27.151636984
164,xnxx,0,chrome,2018,1560.3,1560.3,5.5532428135
165,xnxx,0,chrome,2095,1671.4,1671.4,29.248899688
166,xnxx,0,chrome,3246,2219.5,2219.5,21.2953507945
167,xnxx,0,chrome,3318,2272.5,2272.5,19.1035063035
168,xnxx,0,chrome,1987,1580,1580,13.025738546
169,xnxx,0,chrome,1972,1499,1499,7.2852366755
170,xnxx,0,chrome,2131,1702.8,1702.8,21.152862046
171,xnxx,0,firefox,1692,419.3,1601,28.102293464
172,xnxx,0,firefox,1586,2084.7,1504,95.473542885
173,xnxx,0,firefox,1772,900.3,1664,41.1645784895
174,xnxx,0,firefox,1653,2547.4,1567,69.92422764
175,xnxx,0,firefox,1656,1490.3,1584,69.0575418265
176,xnxx,0,firefox,1723,805.3,1632,81.9558896955
177,xnxx,0,firefox,1700,740.1,1606,103.887608041
178,xnxx,0,firefox,1662,975.6,1566,96.2686446775
179,xnxx,0,firefox,1884,1187.9,1793,116.8338534765
180,xnxx,0,firefox,1851,1479.6,1784,71.4861324625
181,playstation,1,chrome,3470,2490.8,2490.8,20.9451233215
182,playstation,1,chrome,3638,2552.4,2552.4,20.2380439795
183,playstation,1,chrome,3580,2519.8,2519.8,17.4424715385
184,playstation,1,chrome,3576,2818.8,2818.8,18.7061773915
185,playstation,1,chrome,3555,2551.2,2551.2,18.6181301425
186,playstation,1,chrome,3618,2538.1,2538.1,17.33827994
187,playstation,1,chrome,3398,2522.5,2522.5,20.1472537995
188,playstation,1,chrome,3478,2607.1,2607.1,17.8079556415
189,playstation,1,chrome,3445,2501.2,2501.2,16.847284321
190,playstation,1,chrome,3458,2425.4,2425.4,18.423423504
191,playstation,1,firefox,4740,2536.2,4571,32.166010843
192,playstation,1,firefox,3622,902,3486,37.5403035455
193,playstation,1,firefox,3860,2547.4,3655,42.1973018055
194,playstation,1,firefox,5766,1367.7,5599,27.441469106
195,playstation,1,firefox,4444,1367.7,4317,35.9050787145
196,playstation,1,firefox,3655,1261.9,3523,28.4851332095
197,playstation,1,firefox,3727,786.1,3568,24.913415913
198,playstation,1,firefox,3861,4875.4,3672,37.645782554
199,playstation,1,firefox,3734,1092.5,3566,39.3511147685
200,playstation,1,firefox,3599,959.4,3448,35.947608992
201,ed,0,chrome,819,1082.7,1082.7,4.4631428505
202,ed,0,chrome,835,1093.2,1093.2,4.1241126295
203,ed,0,chrome,830,1076.7,1076.7,5.4027830185
204,ed,0,chrome,1727,2004.2,2004.2,5.7666793235
205,ed,0,chrome,866,1011.8,1011.8,4.2639900525
206,ed,0,chrome,868,1019.2,1019.2,4.312037857
207,ed,0,chrome,806,958.8,958.8,4.5948642725
208,ed,0,chrome,828,975.6,975.6,4.986329343
209,ed,0,chrome,817,1074.1,1074.1,2.6047084735
210,ed,0,chrome,805,959.4,959.4,3.277317779
211,ed,0,firefox,794,516,781,14.2715413595
212,ed,0,firefox,759,2536.2,744,11.1362803325
213,ed,0,firefox,806,769.9,669,5.935223793
214,ed,0,firefox,731,2280,721,10.8128484315
215,ed,0,firefox,756,1733.4,633,11.5807147785
216,ed,0,firefox,793,766.3,780,9.6118673975
217,ed,0,firefox,750,4837.7,736,11.1879327315
218,ed,0,firefox,931,1049,917,9.772882093
219,ed,0,firefox,819,1422.5,676,9.5851787035
220,ed,0,firefox,801,670.3,663,7.604139522
221,deviantart,1,chrome,3213,757.6,757.6,7.003469694
222,deviantart,1,chrome,3169,843.9,843.9,9.480123145
223,deviantart,1,chrome,3200,763.6,763.6,11.7937063825
224,deviantart,1,chrome,3135,769.9,769.9,8.5936416075
225,deviantart,1,chrome,3185,777.7,777.7,8.3147958815
226,deviantart,1,chrome,3189,791.1,791.1,12.7473841405
227,deviantart,1,chrome,4832,1515.4,1515.4,6.2787352255
228,deviantart,1,chrome,3203,876.4,876.4,7.314910241
229,deviantart,1,chrome,3130,745.1,745.1,7.115395164
230,deviantart,1,chrome,3201,708.7,708.7,9.527587546
231,deviantart,1,firefox,3963,629.6,335,21.0797306395
232,deviantart,1,firefox,3887,1163,337,8.8721884805
233,deviantart,1,firefox,5784,945.6,1536,9.0731109675
234,deviantart,1,firefox,4871,933.1,278,8.6703216665
235,deviantart,1,firefox,4857,2552.2,484,10.1571692425
236,deviantart,1,firefox,5946,682.2,704,21.122619838
237,deviantart,1,firefox,3862,1414.6,785,13.457585902
238,deviantart,1,firefox,3996,825,622,8.103068273
239,deviantart,1,firefox,4880,550.1,475,17.454351669
240,deviantart,1,firefox,4791,1059.5,1735,11.378491505
241,csdn,0,chrome,1313,698.3,698.3,3.6318646855
242,csdn,0,chrome,1414,806.4,806.4,5.7140075475
243,csdn,0,chrome,1491,989.8,989.8,11.142038373
244,csdn,0,chrome,1485,880.8,880.8,4.5577481695
245,csdn,0,chrome,1406,773.1,773.1,9.111637483
246,csdn,0,chrome,1338,897.2,897.2,6.284372955
247,csdn,0,chrome,1396,825.9,825.9,1.7438222235
248,csdn,0,chrome,1420,1003.5,1003.5,6.3722914795
249,csdn,0,chrome,1342,736.2,736.2,10.1777467935
250,csdn,0,chrome,1702,826.1,826.1,6.3763028675
251,csdn,0,firefox,1132,2490.8,929,19.204058976
252,csdn,0,firefox,1177,516,602,11.905690773
253,csdn,0,firefox,1004,1376.1,421,18.19426194
254,csdn,0,firefox,870,1384.3,738,15.1735472095
255,csdn,0,firefox,903,1033.9,443,11.1868297095
256,csdn,0,firefox,903,901,457,11.900473341
257,csdn,0,firefox,1048,900.3,464,17.2514977385
258,csdn,0,firefox,1094,1007.8,416,13.9278100705
259,csdn,0,firefox,1020,1491.6,398,10.3634337705
260,csdn,0,firefox,880,733.3,446,8.8874425125
261,adsrvr,0,chrome,465,543.9,543.9,4.1885679955
262,adsrvr,0,chrome,476,570.9,570.9,4.5392363485
263,adsrvr,0,chrome,480,581.9,581.9,2.667181119
264,adsrvr,0,chrome,481,581.6,581.6,5.081701273
265,adsrvr,0,chrome,502,596,596,3.3339852625
266,adsrvr,0,chrome,473,572.5,572.5,4.4160598755
267,adsrvr,0,chrome,489,564.3,564.3,5.0406435955
268,adsrvr,0,chrome,466,550.1,550.1,1.744948047
269,adsrvr,0,chrome,466,559.7,559.7,2.0434769075
270,adsrvr,0,chrome,462,559.5,559.5,4.56168331
