Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,79.352,79.352,screen dark,14.706337900800001
0,5.923,5.923,wifi scan,1.3488394593000002
5.923,79.352,73.429,wifi running,1.0142277824400001

